0.19	2.36
4.38	6.89
6.90	9.38
9.54	14.86
15.36	16.33
16.62	17.77
18.40	21.13
21.32	22.76
23.05	24.08
24.12	26.33
26.50	30.63
30.71	32.80
33.17	35.30
35.40	36.22
36.24	38.24
38.33	38.87
39.32	40.23
40.37	42.38
42.65	44.48
44.52	47.14
47.42	49.55
49.78	52.20
52.29	54.99
55.06	59.14
59.19	61.10
61.29	62.60
62.68	64.63
64.98	67.41
67.85	72.31
72.35	76.90
77.34	80.06
80.14	86.85
86.92	90.00
90.13	91.61
91.64	92.63
92.75	94.29
94.52	96.07
96.14	96.82
97.21	98.13
98.28	99.78
100.23	100.90
101.14	102.45
102.60	104.08
104.37	106.86
106.94	107.68
107.79	109.02
109.38	111.15
111.20	114.92
115.21	118.05
118.08	119.84
120.03	121.33
121.62	123.33
123.55	125.27
