0.16	2.36	Tapescript 7.9
3.82	4.35	1
5.07	5.82	walk
8.08	8.62	2
9.55	10.28	listen
12.46	13.09	3
13.75	14.48	know
16.84	17.51	4
18.23	18.91	write
21.26	22.11	5
22.64	23.25	eight
25.68	26.39	6
26.77	27.56	farm
30.31	30.98	7
31.47	32.11	work
34.85	35.44	8
36.01	36.74	war
39.18	40.01	9
40.60	41.38	island
43.66	44.31	10
44.90	45.67	build
48.10	48.78	11
49.41	50.38	resign
52.83	53.55	12
53.91	54.72	daughter
