0.10	3.24
3.24	6.64
6.64	10.48
10.48	11.76
11.76	13.44
13.44	15.12
15.12	16.44
16.44	19.76
19.76	22.08
22.08	27.24
27.24	27.76
27.76	28.04
28.04	28.56
28.56	34.76
34.76	37.36
37.36	41.56
41.56	42.32
42.32	47.28
47.28	50.32
50.32	50.80
50.80	51.96
51.96	52.28
52.28	53.08
53.08	53.24
53.24	55.72
55.72	59.44
59.44	63.16
63.16	64.36
64.36	66.12
66.12	68.08
68.08	70.00
70.00	71.20
71.20	72.24
72.24	73.04
73.04	76.68
76.68	77.00
77.00	80.56
80.56	86.28
86.28	90.68
90.68	92.32
92.32	104.36
104.36	104.80
104.80	110.76
110.76	117.84
117.84	118.96
118.96	120.12
120.12	124.36
124.36	130.48
130.48	134.64
134.64	140.44
140.44	143.56
143.56	146.52
146.52	150.00
150.00	156.00
156.00	158.68
158.68	162.96
162.96	169.44
169.44	179.84
179.84	187.12
187.12	190.44
190.44	199.88
199.88	203.28
203.28	208.84
208.84	217.36
217.36	228.08
228.08	228.36
228.36	230.44
230.44	231.40
231.40	232.20
232.20	236.32
236.32	240.36
240.36	240.84
240.84	245.36
245.36	250.80
250.80	255.56
255.56	257.32
257.32	264.92
264.92	268.00
268.00	269.20
269.20	274.72
274.72	275.08
275.08	280.28
280.28	286.24
286.24	287.12
287.12	287.64
287.64	291.44
291.44	293.68
293.68	294.32
294.32	296.44
296.44	297.44
297.44	300.36
300.36	303.44
303.44	305.76
305.76	311.96
311.96	315.80
315.80	317.84
317.84	320.12
320.12	322.56
322.56	323.48
323.48	323.96
323.96	325.16
325.16	325.44
325.44	325.92
325.92	327.28
327.28	329.44
329.44	334.92
334.92	338.20
338.20	343.56
343.56	343.88
343.88	345.32
345.32	348.04
348.04	348.80
348.80	349.40
349.40	350.04
350.04	351.64
351.64	353.88
353.88	355.20
355.20	356.56
356.56	358.44
358.44	360.12
360.12	361.00
361.00	362.20
362.20	363.44
363.44	367.92
367.92	368.56
368.56	369.48
369.48	375.44
